materials property GapC ETC VBdispC CBdispC GapS ETS IPS EAS PolarTensorS AtomNumC RhoC EpsilonC MolWtS
CENYEZ 0.7532907 2.15023 2.197402977 0.11569000000000002 0.061489999999999996 2.38626347 2.227039244 6.443265725 1.015630193 1325.986 264 0.796095027 3.167006046 528
CEQGEL 0.7596125000000007 2.3321 2.3527341109999997 0.07799 0.09168 2.76593519 2.461214408 7.077743955 0.541660196 631.049 128 0.7916728740000001 3.1177401560000004 252
CORXAI10 0.3609422000000002 1.39752 1.408447336 0.12018 0.38739 1.68891991 1.4889232890000001 6.173896295 1.441415712 1066.427 208 0.8759692179999999 4.233726686 426
CRYSEN01 0.6137076000000001 2.41607 2.628832697 0.38621 0.26792 2.96249776 2.681416385 7.192155551 0.40043594899999996 576.457 120 0.776715202 3.641015627 228
DBNTHR02 0.9623555000000006 2.34285 2.334918521 0.05845 0.1817 2.62999562 2.361537712 6.925400858 0.735666128 701.173 144 0.77122269 3.067309133 278
DBPHEN02 0.9694864000000004 2.3632299999999997 2.517066111 0.29889 0.1831 2.89426704 2.685000768 7.062221626 0.535201206 700.9889999999999 144 0.774091069 3.077811357 278
DBZCOR 0.31376700000000035 1.86136 1.991139147 0.12100999999999999 0.4456 2.32094729 2.126034981 6.551211342999999 1.058190126 990.2639999999999 192 0.878092671 3.460587003 400
DNAPAN 0.07122640000000048 1.84295 1.9264623730000001 0.06899 0.19067 2.19401479 1.977694268 6.521664515 1.174157846 952.487 192 0.790114335 3.133036736 378
DPANTR01 0.4148849000000001 1.9079599999999999 1.923556889 0.20743000000000003 0.14199 2.1696852000000004 1.8488453919999999 6.634973002000001 0.8432185740000001 840.457 176 0.744865923 2.997518953 330
DUPHAX 0.5707919000000001 1.14115 1.1887698009999998 0.20029 0.23621 1.44625679 1.27772346 5.969384399 1.692821516 1299.0639999999999 248 0.8832595059999999 3.480783029 524
FACPEE 1.0783735 2.45926 2.483957943 0.03013 0.03543 2.65331833 2.458363656 6.595567618 1.006793799 1334.7220000000002 272 0.7703690009999999 3.062708875 530
FLUANT02 0.8369694000000005 2.35803 2.4017284119999998 0.04276 0.13135 2.71088037 2.441830192 7.53026524 0.754521917 511.13599999999997 208 0.7540164490000001 3.007388166 202
GUQZUP 0.7104999999999997 2.04405 2.098778138 0.08956 0.11187000000000001 2.29605164 2.169174104 6.3229008129999995 1.302809788 1490.9389999999999 144 0.88025876 3.50148982 1201
HPHBNZ03 0.9179616 3.47416 3.5848010360000004 0.08255 0.09059 3.82688205 3.688657229 6.9546147089999995 0.26675580600000004 1353.598 288 0.727688302 2.91369162 534
JULSOY 0.5254370000000002 1.31764 1.373293235 0.10402 0.06322 1.61466387 1.448506065 6.040023354 1.6216878380000002 1314.205 256 0.852981221 4.042865768 526
KAFVUI 0.5275532999999997 1.92366 1.977847158 0.03444 0.38565 2.23492982 1.973492979 6.696324408 0.9344794470000001 756.8910000000001 155 0.8407977459999999 3.345396586 302
KAGFOP 0.4228786000000002 1.09353 1.076752492 0.07499 0.11589 1.33698581 1.106691383 5.975616317999999 1.4849406440000001 1148.307 232 0.7646394470000001 3.047545763 454
KAGFUV 0.4294322000000004 1.3011 1.3261986190000001 0.07057999999999999 0.07742 1.48659596 1.273899675 6.063782726 1.4827041069999998 1132.57 448 0.809105308 3.204886324 452
KAGGAC 0.4583892000000005 1.2495 1.213423133 0.03896 0.0904 1.40939581 1.178229859 5.960282358 1.45648692 1401.108 152 0.719552634 2.946589916 538
KAGGEG 0.18746830000000012 0.8377700000000001 0.8766253340000001 0.40131 0.21544000000000002 1.17397803 0.9179367140000001 6.133135995 1.5379639969999999 760.6160000000001 76 0.845400362 4.050972956 302
KAGGIK 0.3733109000000003 1.23506 1.254442467 0.09994 0.0829 1.4437415 1.214651533 6.054605835 1.363308271 1094.254 124 0.750691043 3.154171592 414
KAQLEV 0.4116000000000004 1.93488 2.001125128 0.35213 0.08189 2.25961102 2.024051688 6.545400092 1.06192785 949.7360000000001 96 0.8451141759999999 3.3902036860000004 757
KECLAH 0.24529999999999985 0.70033 0.669761708 0.06576 0.10035 0.81305114 0.615054059 5.335969055 2.185051492 2720.4440000000004 272 0.7789448659999999 3.079609565 2167
KEGHEJ01 0.7855520999999999 0.9736100000000001 1.213382734 0.21243 0.6217600000000001 1.48636076 1.29063487 7.202534422 1.352735579 443.958 44 0.787444705 3.6297586 176
KIDJUD03 0.9138574000000004 3.1591 3.1588642360000003 0.23719 0.19385 3.42816705 3.204620823 7.03035302 0.402092835 978.123 52 0.725047015 2.9243654639999996 382
KUBVUY 0.7675912000000005 1.99075 1.849404298 0.07837000000000001 0.01859 2.20899656 2.041016592 6.389196059 1.1654022309999998 1286.1689999999999 264 0.7170841579999999 2.8595613510000004 506
KUBWAF01 0.6852725000000004 1.8130400000000002 1.93511983 0.09457 0.12922999999999998 2.21464589 2.039217303 6.549938741 1.07937064 895.321 184 0.767610865 3.071155053 354
KUZXUA 0.6118000000000006 1.9899099999999998 2.068120999 0.1909 0.23058 2.3234506 2.127962413 6.565799609 1.0554891659999999 990.877 96 0.891011689 3.5358126289999996 801
OBOHUL 0.40989709999999996 0.81548 0.732012442 0.15269000000000002 0.16624 0.98345348 0.73316233 5.526237295 1.683007463 1688.271 94 0.720987963 2.9748418539999997 322
OVALEN01 0.39913799999999977 1.69062 1.7112236140000001 0.27175 0.15215 1.93557942 1.723425217 6.386257004 1.275350435 978.165 92 0.890904158 4.221137411 398
